City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,55.24,84,7,2.8,ZA,1651383162
1,marawi,7.9986,124.2928,82.33,66,42,5.5,PH,1651383162
2,port alfred,-33.5906,26.891,57.18,77,52,3.0,ZA,1651383163
3,ushuaia,-54.8,-68.3,44.26,65,40,20.71,AR,1651383163
4,carnarvon,-24.8667,113.6333,78.87,65,0,14.97,AU,1651383164
5,lasa,46.6166,10.7002,42.69,91,99,2.71,IT,1651383164
6,prieska,-29.6641,22.7474,55.47,51,0,4.94,ZA,1651383165
7,butaritari,3.0707,172.7902,81.27,80,47,13.65,KI,1651383165
8,yellowknife,62.456,-114.3525,30.72,64,0,5.75,CA,1651382945
9,lazaro cardenas,17.9583,-102.2,73.18,74,57,2.93,MX,1651383166
10,barrow,71.2906,-156.7887,24.82,93,100,14.97,US,1651382875
11,hermanus,-34.4187,19.2345,57.67,80,6,3.09,ZA,1651383167
12,trebaseleghe,45.5928,12.0506,63.59,59,0,3.44,IT,1651383167
13,rikitea,-23.1203,-134.9692,76.64,75,95,10.98,PF,1651383168
14,shingu,33.7333,135.9833,60.58,91,100,3.83,JP,1651383168
15,severo-kurilsk,50.6789,156.125,36.73,87,76,8.63,RU,1651383169
16,berlevag,70.8578,29.0864,30.15,69,75,23.02,NO,1651383169
17,mataura,-46.1927,168.8643,52.48,100,100,1.14,NZ,1651383170
18,half moon bay,37.4636,-122.4286,54.05,82,75,20.71,US,1651383030
19,sao filipe,14.8961,-24.4956,72.28,74,8,11.81,CV,1651383170
20,minatitlan,17.9833,-94.5167,77.36,86,82,4.09,MX,1651383171
21,robertsport,6.7533,-11.3686,80.37,81,56,4.23,LR,1651383171
22,nsoko,-27.0333,31.95,65.17,68,0,4.65,SZ,1651383172
23,palora,-1.7,-77.9333,62.01,92,90,2.73,EC,1651383172
24,busselton,-33.65,115.3333,69.26,57,2,7.92,AU,1651383173
25,springdale,36.1867,-94.1288,55.53,85,0,3.44,US,1651383173
26,klyuchi,52.2667,79.1667,77.38,20,84,5.86,RU,1651383174
27,chokurdakh,70.6333,147.9167,24.75,91,73,9.55,RU,1651383174
28,timberlake,37.3207,-79.2575,50.14,95,0,0.0,US,1651383175
29,ponta do sol,32.6667,-17.1,65.03,54,0,3.65,PT,1651383175
30,vaini,-21.2,-175.2,80.76,89,75,8.05,TO,1651383176
31,mount gambier,-37.8333,140.7667,66.11,68,40,19.57,AU,1651383108
32,dillon,34.4166,-79.3712,66.45,82,43,6.46,US,1651383176
33,qaanaaq,77.484,-69.3632,2.93,68,16,8.43,GL,1651383177
34,kenai,60.5544,-151.2583,43.14,61,0,24.16,US,1651383177
35,suntar,62.1444,117.6319,39.97,78,100,4.83,RU,1651383178
36,palmer,42.1584,-72.3287,45.77,75,0,3.44,US,1651383178
37,lata,40.1629,-8.3327,56.07,94,51,1.7,PT,1651383179
38,zhangye,38.9342,100.4517,58.95,17,1,2.59,CN,1651383179
39,punta arenas,-53.15,-70.9167,41.11,86,100,9.19,CL,1651382963
